"","CBX","data1_selection","data1_intersection","data1_infeasible","data2_selection","data2_intersection","data2_infeasible","data1_secretor_selection","data1_secretor_intersection","data1_secretor_infeasible","data2_secretor_selection","data2_secretor_intersection","data2_secretor_infeasible","background"
"1","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_1",NA,NA,NA,120,NA,NA,80,NA,NA,31,NA,NA,21812
"2","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_1_0",223,NA,NA,1998,NA,NA,383,43,NA,2331,43,NA,24372
"3","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_1_0_0",NA,NA,NA,1982,NA,NA,66,22,NA,2316,22,NA,23092
"4","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_1",NA,NA,NA,117,NA,NA,80,NA,NA,30,NA,NA,20852
"5","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_1_0",223,NA,NA,1992,NA,NA,377,41,NA,2325,41,NA,24372
"6","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_1_0_0",NA,NA,NA,2001,NA,NA,66,23,NA,2326,23,NA,23092
"7","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_1",NA,NA,NA,116,NA,NA,NA,NA,NA,36,NA,NA,18612
"8","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_1_0",NA,NA,NA,2118,NA,NA,284,20,NA,2365,20,NA,24372
"9","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_1_0_0_1_0_0",NA,NA,NA,2046,NA,NA,8,8,NA,2384,8,NA,23092
"10","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_1",NA,NA,2476,127,NA,2476,NA,NA,2476,44,NA,2476,15176
"11","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_1_0",NA,NA,NA,2104,NA,NA,280,16,NA,2344,16,NA,24372
"12","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_1_0_0_0_1_0_0",NA,NA,NA,2035,NA,NA,8,8,NA,2372,8,NA,23092
"13","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_1",NA,NA,NA,1492,NA,NA,104,104,NA,1494,104,NA,21652
"14","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_1_0",444,382,NA,1542,382,NA,531,396,NA,1577,396,NA,14932
"15","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_1_0_0_0_0_1_0_0",NA,NA,1644,522,NA,1644,32,24,1644,808,24,1644,9032
"16","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_1",NA,NA,NA,1240,NA,NA,104,104,NA,1301,104,NA,11824
"17","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_1_0",174,122,1708,624,122,1708,125,89,1708,615,89,1708,3268
"18","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_1",NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,4464
"19","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_1_0",8,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,9264
"20","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_1_0_0_1_0_0",NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,9264
"21","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_1",NA,NA,688,24,NA,688,NA,NA,688,NA,NA,688,3520
"22","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_1_0",8,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,9264
"23","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_1_0_0_0_1_0_0",NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,9264
"24","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10224
"25","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_1_0",185,NA,NA,NA,NA,NA,168,NA,NA,NA,NA,NA,11824
"26","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_1_0_0_0_0_1_0_0",NA,NA,1232,NA,NA,1232,NA,NA,1232,NA,NA,1232,7552
"27","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_1",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,5088
"28","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_1_0",76,NA,1232,47,NA,1232,43,NA,1232,19,NA,1232,2336
"29","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_1_0_0_0_0_0_1_0_0",NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,5408
"30","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_0_1",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,5088
"31","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_1_0",52,NA,1232,9,NA,1232,44,NA,1232,8,NA,1232,2336
"32","0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_1_0_0_0_0_0_0_1_0_0",NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,5408
"33","0_0_1_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4228
"34","0_0_1_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_1_0",89,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,6148
"35","0_0_1_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_1_1_0_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6148
"36","0_0_1_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4036
"37","0_0_1_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_1_0",89,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,6148
"38","0_0_1_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_1_0_1_0_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6148
"39","0_0_1_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3588
